Feature	Gain	Cover	Frequency
campo8	0.144812085079609	0.00534425005291754	0.00367872470876763
ctrx_quarter	0.0973551380018376	0.0158124926856494	0.0185979971387697
mpasivos_margen	0.077422901628338	0.0216940728101811	0.0275904353157572
mcuentas_saldo	0.0510524276795131	0.0317186304981366	0.035152258328224
mpayroll	0.05094514410348	0.0185085343559085	0.00980993255671367
mcaja_ahorro	0.0463260380725438	0.0133606863883049	0.0194154915184958
cpayroll_trx	0.0457203966942421	0.011213927368809	0.00490496627835684
mprestamos_personales	0.0433823890948791	0.018313491388339	0.00858369098712446
mtarjeta_visa_consumo	0.0318418832107274	0.0176750391280427	0.0183936235438381
mrentabilidad_annual	0.0317326829872743	0.0421290283139678	0.0394441038217862
mrentabilidad	0.0181769288149523	0.0230168695685252	0.0241160842019211
mcuenta_corriente	0.0161321797008494	0.0276435169379149	0.0310647864295933
mcomisiones_mantenimiento	0.0159031578114833	0.0144991944375132	0.0130799100756182
mactivos_margen	0.0143237931153222	0.029938772013611	0.029429797670141
Visa_mpagominimo	0.0135871135141161	0.0182050184783351	0.0212548538728796
Master_fechaalta	0.0123378935598982	0.0228050577679406	0.0298385448600041
ctarjeta_master	0.0117787008959653	0.00602148502518709	0.00367872470876763
ccomisiones_mantenimiento	0.0114810227944714	0.00104221359989417	0.00183936235438381
Visa_fechaalta	0.0113206657802035	0.0294749989257227	0.0282035561005518
cliente_edad	0.0111776116997456	0.0234003628254788	0.032495401594114
Visa_msaldopesos	0.0107661536615496	0.0145509634238214	0.0147148988350705
Visa_status	0.0103333919720456	0.0398382678980799	0.0143061516452074
Master_Fvencimiento	0.0100267077077374	0.0249024635850626	0.0312691600245248
ctarjeta_visa_transacciones	0.00884496162645097	0.00903657862881298	0.0159411404046597
cproductos	0.008656056073819	0.0171461011299376	0.0128755364806867
chomebanking_transacciones	0.00855019068192479	0.0174140502361159	0.0218679746576742
Visa_Fvencimiento	0.00767130699928234	0.0157427871736161	0.0208461066830166
ctarjeta_visa	0.00752795750095789	0.0122968685590262	0.00510933987328837
Visa_mconsumospesos	0.00751581493737638	0.0161482292250162	0.0245248313917842
Visa_cconsumos	0.00662601323632595	0.0106071368092056	0.0171673819742489
mcomisiones_otras	0.0066173035332106	0.0133362950104192	0.0157367668097282
numero_de_cliente	0.0061965671332685	0.0157801954538423	0.020641733088085
cliente_antiguedad	0.00611296312845334	0.012359024267702	0.0196198651134273
cprestamos_personales	0.00606792184479936	0.0074291979287995	0.00326997751890456
Visa_mpagospesos	0.0054231267693811	0.0155007646740995	0.0177805027590435
ccajas_transacciones	0.00539298618632765	0.0131992729707821	0.00510933987328837
ccomisiones_otras	0.00534677699698955	0.0113590620014048	0.0141017780502759
Visa_msaldototal	0.00505174087225229	0.0177145033131386	0.014510525240139
Master_mfinanciacion_limite	0.00484233021022542	0.00974356870843263	0.0161455139995913
mautoservicio	0.0047991832032226	0.0130351413177706	0.0132842836705498
Visa_mfinanciacion_limite	0.00445553090611294	0.00996789587776755	0.0169630083793174
mcomisiones	0.00419790284309609	0.01186614308908	0.0126711628857552
mcaja_ahorro_dolares	0.004107809672233	0.00890849230978255	0.0126711628857552
mtransferencias_recibidas	0.00407658178737125	0.0105338057070204	0.0147148988350705
cmobile_app_trx	0.00381864312746112	0.00819569439461863	0.008788064582056
ctarjeta_debito_transacciones	0.00376136836660506	0.0080946258049461	0.0116492949110975
ccallcenter_transacciones	0.00374859117898079	0.00914518936484163	0.00347435111383609
mttarjeta_visa_debitos_automaticos	0.00358599357411093	0.0120507419067716	0.0126711628857552
Visa_mconsumosdolares	0.00355839332930127	0.0076409140168669	0.00899243817698753
Visa_mconsumototal	0.00344097068152858	0.00528612192696587	0.008788064582056
mtransferencias_emitidas	0.00334177153019078	0.00912414026805692	0.0106274269364398
thomebanking	0.00333558371726973	0.0047989260718661	0.00449621908849377
mcuenta_debitos_automaticos	0.00327301851618292	0.00910374584488992	0.00510933987328837
Master_mlimitecompra	0.0030909186993902	0.00479954628897762	0.00960555896178214
Master_status	0.00298196670515726	0.0152251700520465	0.00613120784794605
ctransferencias_recibidas	0.00275132522785719	0.00663079473824342	0.008788064582056
ctarjeta_debito	0.00262179003150322	0.00680117833287907	0.00694870222767219
Visa_mlimitecompra	0.00255753530401136	0.00780481978833782	0.00858369098712446
mtarjeta_master_consumo	0.00238801105520082	0.00707545595069528	0.00347435111383609
ctarjeta_visa_debitos_automaticos	0.00214502023658254	0.00537414681479309	0.00633558144287758
ccaja_seguridad	0.00208116491105941	0.00187098828641118	0.000613120784794605
cextraccion_autoservicio	0.00199218427049765	0.0124965478409293	0.0081749437972614
mpagomiscuentas	0.00190547720093025	0.00612660799708862	0.00694870222767219
Master_cconsumos	0.00176054682035499	0.00108797566862238	0.00224810954424688
ctransferencias_emitidas	0.00172457704154486	0.00406156066778485	0.00490496627835684
Master_mconsumospesos	0.00161434663045603	0.00502894239322396	0.00490496627835684
ctarjeta_master_transacciones	0.00156113300598938	0.00219484498814191	0.00143061516452074
cpagomiscuentas	0.001503094468372	0.00411879292457544	0.0047005926834253
tcallcenter	0.00145117638727189	0.00442470927208043	0.00204373594931535
Master_mpagominimo	0.00142837900924742	0.00353577735424691	0.0040874718986307
ccuenta_debitos_automaticos	0.00137165914973735	0.00140339818333661	0.00224810954424688
Master_msaldopesos	0.00135611396443924	0.00623104949586762	0.0047005926834253
Master_mpagospesos	0.00134184336450346	0.00962799010115113	0.00531371346821991
Master_fultimo_cierre	0.001324220592571	0.00222834054066454	0.00326997751890456
Master_msaldototal	0.00128308825733674	0.00597538221989763	0.0040874718986307
mextraccion_autoservicio	0.00121352822124763	0.00497572240515479	0.00653995503780912
Visa_mpagado	0.00113647680183359	0.0124740783703892	0.0047005926834253
Visa_fultimo_cierre	0.00106326576484459	0.00320091371303709	0.00326997751890456
Visa_msaldodolares	0.00087444628554733	0.00564735245241656	0.00286123032904149
catm_trx	0.000762374008993991	0.00417486514565745	0.00388309830369916
matm_other	0.000735035681946016	0.00667932098446863	0.00306560392397302
ccaja_ahorro	0.000634772261689996	0.00539183448797341	0.00245248313917842
matm	0.000433793954000218	0.00163061204219057	0.00245248313917842
campo7	0.000408221938031091	0.00234360903939028	0.00143061516452074
Master_mconsumototal	0.000311585141366994	0.00104661637568581	0.000817494379726139
Master_mconsumosdolares	0.000267358301461248	0.000817790718042042	0.000817494379726139
cseguro_vida	0.000249076922978633	0.00273504643527229	0.00102186797465767
cseguro_accidentes_personales	0.000246226950415712	0.00156867072955327	0.000817494379726139
Visa_mpagosdolares	0.000241199263188353	0.000386288062456139	0.000817494379726139
Master_madelantopesos	0.000233210550137316	7.36373822402959e-05	0.000204373594931535
cplazo_fijo	0.000216979393925034	0.00405734166002626	0.00143061516452074
mplazo_fijo_dolares	0.000209532616224023	0.002341560791522	0.000817494379726139
Visa_madelantopesos	0.000206762732751996	0.000416096768815863	0.00040874718986307
Master_mpagosdolares	0.000115262491582793	0.000148408000684352	0.00040874718986307
cseguro_vivienda	0.000108907240969178	0.00124084387260869	0.000613120784794605
Visa_delinquency	0.000108613140168529	0.000322260216943676	0.000204373594931535
mttarjeta_master_debitos_automaticos	6.44584050391293e-05	0.000220035420063249	0.000204373594931535
Visa_cadelantosefectivo	4.15718521458528e-05	0.00030852355647377	0.000204373594931535
