fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 231357	binary	custom	TRUE	TRUE	FALSE	-100	58	TRUE	388699	0.0761788356815462	0.498093552118749	1318	130	8243	9	25	0.17368653307386	44.770015750637	75	24400000	68
20220928 231419	binary	custom	TRUE	TRUE	FALSE	-100	64	TRUE	388699	0.0946743869775432	0.384548065309296	7264	718	7595	13	0	1.6294864649648	42.7740895402071	95	26170000	69
20220928 231458	binary	custom	TRUE	TRUE	FALSE	-100	140	TRUE	388699	0.0508911906395095	0.520931299519973	3475	662	7316	4	0	3.55738760519842	43.0172002971832	86	25930000	70
20220928 231514	binary	custom	TRUE	TRUE	FALSE	-100	35	TRUE	388699	0.182562319035703	0.36211519749963	6871	374	7245	9	0	6.51721969861833	38.9572229851167	64	25910000	71
20220928 231533	binary	custom	TRUE	TRUE	FALSE	-100	49	TRUE	388699	0.130460930376707	0.239629295342609	4020	584	8007	13	0	0.366032096943844	41.9499722789765	81	26470000	72
20220928 231621	binary	custom	TRUE	TRUE	FALSE	-100	234	TRUE	388699	0.0770128410797602	0.501741649914277	6230	162	12217	10	0	0.0064941929681834	47.7509721305268	91	25410000	73
20220928 231658	binary	custom	TRUE	TRUE	FALSE	-100	231	TRUE	388699	0.0841592478988981	0.581153979164335	7479	230	6742	12	0	28.2368582800264	43.3325470515526	43	25640000	74
20220928 231730	binary	custom	TRUE	TRUE	FALSE	-100	100	TRUE	388699	0.141978001623827	0.470772405227727	3025	497	7281	11	0	14.4302411515563	30.5256866141237	29	2.6e+07	75
20220928 231805	binary	custom	TRUE	TRUE	FALSE	-100	167	TRUE	388699	0.102528802507597	0.388472694546297	3177	479	7450	15	0	22.2299073887824	40.7879265204873	11	26300000	76
20220928 231826	binary	custom	TRUE	TRUE	FALSE	-100	57	TRUE	388699	0.124234232073953	0.456403102740926	2675	991	7604	11	0	24.3078268852232	38.6381815344452	55	2.6e+07	77
20220928 231907	binary	custom	TRUE	TRUE	FALSE	-100	218	TRUE	388699	0.0774211547528128	0.532355916626792	2379	682	9600	18	0	27.9801457035916	46.7569343292187	54	25920000	78
20220928 231937	binary	custom	TRUE	TRUE	FALSE	-100	154	TRUE	388699	0.116097396028184	0.290349457964815	2310	419	6948	17	0	38.249121074652	32.6721287371149	68	25550000	79
20220928 231956	binary	custom	TRUE	TRUE	FALSE	-100	60	TRUE	388699	0.191903752805392	0.411209694537159	2908	268	5318	14	0	21.8950532141388	32.0170643590013	38	23770000	80
20220928 232056	binary	custom	TRUE	TRUE	FALSE	-100	353	TRUE	388699	0.125011161409163	0.513270340375905	5854	758	8297	3	0	0.155617130955858	46.3035737216222	12	26290000	81
20220928 232143	binary	custom	TRUE	TRUE	FALSE	-100	301	TRUE	388699	0.125288535057051	0.425194371399942	6883	476	9030	4	0	7.39470442045017	38.3135793247121	17	26020000	82
20220928 232200	binary	custom	TRUE	TRUE	FALSE	-100	48	TRUE	388699	0.142686265797267	0.583996622250532	5367	708	8293	5	0	0.149211376482036	39.30696383727	30	26140000	83
20220928 232226	binary	custom	TRUE	TRUE	FALSE	-100	73	TRUE	388699	0.0948384867484107	0.285225142164285	1067	878	7900	10	0	4.36855718432273	45.8754558476378	70	27080000	84
20220928 232251	binary	custom	TRUE	TRUE	FALSE	-100	72	TRUE	388699	0.0906703274435785	0.280744774796422	1359	882	6584	9	0	6.33366059538713	43.6526285833171	69	26280000	85
20220928 232325	binary	custom	TRUE	TRUE	FALSE	-100	143	TRUE	388699	0.0884195753217717	0.405034815112142	2372	598	8616	8	0	4.07102552566347	46.8238015634188	84	26690000	86
