fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 234414	binary	custom	TRUE	TRUE	FALSE	-100	1282	TRUE	388699	0.00813282590386287	0.818708419988128	1804	696	10637	5	0	16.9474215501152	45.728676318862	4	24010000	119
20220928 234505	binary	custom	TRUE	TRUE	FALSE	-100	242	TRUE	388699	0.0461840339299779	0.35962676883719	403	1024	9812	11	0	29.4936646773642	44.19820465115	69	26220000	120
20220928 234529	binary	custom	TRUE	TRUE	FALSE	-100	86	TRUE	388699	0.0753921981377218	0.57491516249262	6336	580	10037	10	0	46.1733153083683	41.4981154297036	89	24890000	121
20220928 234709	binary	custom	TRUE	TRUE	FALSE	-100	559	TRUE	388699	0.0152486967379163	0.288567055898512	6886	1018	9631	7	0	48.3854958280236	15.780990734756	47	25140000	122
20220928 234733	binary	custom	TRUE	TRUE	FALSE	-100	108	TRUE	388699	0.123286901805102	0.223230559886105	1538	235	9915	-1	0	18.8487425025527	14.9342459757856	68	26010000	123
20220928 234806	binary	custom	TRUE	TRUE	FALSE	-100	194	TRUE	388699	0.126753416784127	0.212032504400221	253	88	7921	3	0	13.1963984923117	16.6052225428699	5	24960000	124
20220928 234857	binary	custom	TRUE	TRUE	FALSE	-100	490	TRUE	388699	0.0376667640440249	0.897258054933964	7574	196	12824	3	0	6.63914038849835	45.0211284067089	41	24840000	125
20220928 235029	binary	custom	TRUE	TRUE	FALSE	-100	528	TRUE	388699	0.0251563000471549	0.262066649574059	1659	317	11548	5	0	15.3566050548098	15.9893350583512	66	25870000	126
20220928 235057	binary	custom	TRUE	TRUE	FALSE	-100	115	TRUE	388699	0.100546910159197	0.311759351749861	741	914	10494	7	0	10.4850300423098	6.26387846455123	67	26140000	127
20220928 235141	binary	custom	TRUE	TRUE	FALSE	-100	239	TRUE	388699	0.0574093539333639	0.408817799447681	1020	256	14382	3	0	25.5181904421156	13.2541274644765	70	23640000	128
20220928 235207	binary	custom	TRUE	TRUE	FALSE	-100	101	TRUE	388699	0.110527499290463	0.43109104147911	7823	1023	7811	11	0	9.23830885439217	26.0441473676669	30	26060000	129
20220928 235253	binary	custom	TRUE	TRUE	FALSE	-100	333	TRUE	388699	0.106094382011861	0.244779041931805	1228	224	10852	1	0	6.3180849696376	0.136939005781973	68	25820000	130
20220928 235344	binary	custom	TRUE	TRUE	FALSE	-100	307	TRUE	388699	0.0502463161375924	0.728126540553132	2239	472	10135	9	0	2.59411810156011	46.9889518879355	90	26930000	131
