fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 012648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	25770000	1
20221002 012717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	25950000	2
20221002 012755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25380000	3
20221002 012809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	25310000	4
20221002 012827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	24520000	5
20221002 012913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	25750000	6
20221002 012951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	26670000	7
20221002 013014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	26760000	8
20221002 013045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	22950000	9
20221002 013115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	24930000	10
20221002 013138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	2.5e+07	11
20221002 013151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	25210000	12
20221002 013211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	25990000	13
20221002 013233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	388699	0.107610276694293	0.280190903553739	5961	112	13606	23990000	14
20221002 013247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	388699	0.230431811770366	0.661553804706782	2086	968	13139	23970000	15
20221002 013707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1018	TRUE	388699	0.00769870370265562	0.463761767214164	1454	827	5466	25870000	16
20221002 013805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	388699	0.0930573708133306	0.210880017522723	7935	881	9278	26810000	17
20221002 013822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	388699	0.295174827996117	0.576827390855178	4084	334	7190	25460000	18
20221002 013908	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	388699	0.26224245623115	0.367376546086744	143	398	14492	20300000	19
20221002 013944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	388699	0.0322818678830517	0.894003292554989	6320	580	9991	26100000	20
20221002 014018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	388699	0.0747398635048978	0.639313055110684	5692	1022	7051	25900000	21
20221002 014037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	388699	0.144808273407214	0.885117628365952	7998	858	9089	26390000	22
20221002 014111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	388699	0.126398897547424	0.919747692507352	724	544	6844	26320000	23
20221002 014145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	388699	0.115331194808834	0.204933298487118	5949	812	9291	27100000	24
20221002 014214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	388699	0.0717898216086308	0.200769098729456	1420	863	9309	26910000	25
20221002 014246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	388699	0.100621069227234	0.283014562920271	4931	1008	9588	26510000	26
20221002 014310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	388699	0.109436833736131	0.200675497878218	6471	387	9196	26810000	27
20221002 015319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1462	TRUE	388699	0.00548489854268091	0.360895049583044	2	502	9091	27100000	28
20221002 015410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	388699	0.0781889124992696	0.211851635652049	7	447	9077	24810000	29
20221002 015903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1220	TRUE	388699	0.00511860905294919	0.295255946282207	1837	808	9455	27090000	30
20221002 021854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1202	TRUE	388699	0.00500770712715296	0.655304792469008	230	849	9333	27580000	31
20221002 023316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1226	TRUE	388699	0.0050677592119019	0.999177759194851	120	719	9117	27530000	32
20221002 023411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	388699	0.0335799350087641	0.99321538938183	982	1007	9328	26790000	33
20221002 023912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	528	TRUE	388699	0.00507746769523888	0.76985155980419	586	610	9336	27330000	34
20221002 025714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1999	TRUE	388699	0.00515658628928619	0.828528410852706	0	796	10992	25300000	35
20221002 031625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2131	TRUE	388699	0.00515688841768665	0.613303228473002	17	838	8327	26230000	36
20221002 031650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	388699	0.12665429870293	0.523001820232023	3167	1024	8775	25730000	37
