fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 215452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	388699	0.0725270637754584	0.621764415265061	5117	1062	7835	26330000	1
20221002 215556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	388699	0.0593573004517239	0.799790496618953	5223	970	10186	26750000	2
20221002 215759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	733	TRUE	388699	0.025053206780809	0.499470685976557	4834	859	12151	25860000	3
20221002 215842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	323	TRUE	388699	0.068462863628054	0.823969353009015	4949	1006	10509	25950000	4
20221002 215902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	388699	0.0823506123044062	0.443206762748305	5700	981	12622	24840000	5
20221002 220034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	629	TRUE	388699	0.0225374113307334	0.667009919714183	4768	917	11367	26070000	6
20221002 220121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287	TRUE	388699	0.0439453412623843	0.946585709985811	4288	1057	8747	26430000	7
20221002 220141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	388699	0.0611630455062259	0.721937731199432	5301	1113	6860	25400000	8
20221002 220246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	390	TRUE	388699	0.0472198039935902	0.55305676977383	5646	1089	14928	23430000	9
20221002 220325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	388699	0.0743593098104466	0.999622603824828	4116	882	11938	25730000	10
20221002 220351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	388699	0.0547032382111065	0.776991595290601	5812	860	5501	24200000	11
20221002 220409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	388699	0.0915357872968307	0.855388863263652	4454	1198	6436	25610000	12
20221002 220505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	353	TRUE	388699	0.0300752845184179	0.893295723211486	4688	801	8325	26390000	13
20221002 220550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	388699	0.0413048301779199	0.460143177665304	5491	838	13606	24390000	14
20221002 220626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	223	TRUE	388699	0.0787758069807896	0.746165353530087	4521	1178	13139	24610000	15
20221002 220800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	335	TRUE	388699	0.0108233333330136	0.597821325410623	4363	1122	5466	24590000	16
20221002 220845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	388699	0.0368649605871178	0.408160013142042	5984	1143	9278	26250000	17
20221002 220905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.0985279136259342	0.682620543141384	5021	926	7190	25700000	18
20221002 220937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	388699	0.0884807493586559	0.525532409565058	4035	952	14492	23340000	19
20221002 221207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	962	TRUE	388699	0.0183232817270327	0.920502469416242	5580	1024	9991	26900000	20
20221002 221310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	407	TRUE	388699	0.0342915597335518	0.765252105665812	5333	860	9756	26810000	21
20221002 221457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	713	TRUE	388699	0.0274827035627154	0.81255488295861	5999	895	10061	2.7e+07	22
20221002 221653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	483	TRUE	388699	0.0104754549964226	0.572260755208183	5439	913	10079	26010000	23
20221002 221723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	388699	0.0535044044054891	0.933228724286536	5831	968	9826	25870000	24
20221002 221858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	761	TRUE	388699	0.0241945558737322	0.804729618501812	5528	1020	10151	26500000	25
20221002 221957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	388699	0.0172938663258674	0.937177463907361	5997	841	9831	25700000	26
20221002 222119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	388699	0.0206287354659362	0.861122094491336	4505	936	9575	26530000	27
20221002 222413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1287	TRUE	388699	0.0100832837840219	0.911203241968204	5288	1127	8780	26600000	28
20221002 222519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	484	TRUE	388699	0.0480130342273103	0.792003710030537	5915	872	10153	26420000	29
20221002 222649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	735	TRUE	388699	0.0292491498145667	0.91140733759486	5226	1084	9798	26650000	30
20221002 222731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	388699	0.0593478312997225	0.686198465241154	4556	937	9560	26080000	31
20221002 222854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	677	TRUE	388699	0.0334500256775379	0.823730124107195	5246	898	10329	26710000	32
20221002 223221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1376	TRUE	388699	0.0168760941198788	0.706201909888724	5149	922	9399	27210000	33
20221002 223351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	388	TRUE	388699	0.0101872730419199	0.770459643140005	5144	915	9183	26040000	34
20221002 223444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	263	TRUE	388699	0.0231169336867028	0.704704478957242	5909	885	9404	25920000	35
20221002 223629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	639	TRUE	388699	0.0162730711922461	0.636587184980106	4898	1059	9424	26680000	36
20221002 223824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	829	TRUE	388699	0.0168047666617739	0.779933528060202	5115	1014	10020	26360000	37
20221002 223927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	388699	0.0155459809393324	0.691057538965342	4319	890	9477	25850000	38
20221002 223950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	388699	0.0558150002995965	0.691561946387729	5223	822	9973	25980000	39
20221002 224129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	728	TRUE	388699	0.0280672926399406	0.707911679816962	5082	980	9597	26410000	40
20221002 224250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	458	TRUE	388699	0.0165494242542249	0.6731458729048	5150	839	9073	26420000	41
20221002 224439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	801	TRUE	388699	0.0179263259836306	0.705700792704884	5604	1024	9075	26810000	42
20221002 224535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	388699	0.017026660484968	0.709441498168427	5616	936	10287	25830000	43
20221002 224644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	315	TRUE	388699	0.0174011011416187	0.707095618897141	5204	1100	7955	26330000	44
20221002 224747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	450	TRUE	388699	0.0321544210439313	0.835177367709857	5990	1004	9130	26780000	45
20221002 224939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	806	TRUE	388699	0.0169681328328327	0.718238180790414	5150	1021	9277	26890000	46
20221002 225054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	449	TRUE	388699	0.0180882601332176	0.933981810217554	4808	1009	10145	25550000	47
20221002 225221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	671	TRUE	388699	0.0271839166674214	0.939721004575653	5472	923	9129	26790000	48
20221002 225340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	561	TRUE	388699	0.0235261590964839	0.882561708451459	5555	935	8860	26760000	49
20221002 225503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	392	TRUE	388699	0.0179928729549155	0.586347596673708	5077	931	8712	26660000	50
20221002 225545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	388699	0.0456798405638992	0.796813163966814	4694	848	9698	25810000	51
20221002 225653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	368	TRUE	388699	0.0218690583123583	0.92444955433328	5640	1196	8693	26540000	52
20221002 230047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1944	TRUE	388699	0.0105111904168572	0.705994017565966	5221	922	9702	27080000	53
20221002 230146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	388699	0.0388452952422586	0.897270283991699	5422	920	9900	26520000	54
20221002 230313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	481	TRUE	388699	0.0134549416118993	0.710057612604258	5407	943	9109	26430000	55
20221002 230538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	968	TRUE	388699	0.0101807194822295	0.708304199852525	5166	829	9480	26560000	56
20221002 230720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	701	TRUE	388699	0.018281757415992	0.704498747627175	5231	923	9815	26450000	57
20221002 230804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	388699	0.0298703149731224	0.888227587887971	5542	909	13339	23970000	58
20221002 230847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	291	TRUE	388699	0.0467554773986386	0.791309011033783	5803	818	14669	23390000	59
20221002 230908	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	388699	0.0748264014888252	0.761940995525522	4917	1042	14940	22680000	60
20221002 231048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	681	TRUE	388699	0.0150940007717559	0.978460009950738	5496	1079	9561	26480000	61
20221002 231150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	297	TRUE	388699	0.0310261435870035	0.57315754454094	5693	1155	10475	26090000	62
20221002 231206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	388699	0.0988867434440437	0.774727128134528	4912	1119	7240	25600000	63
20221002 231225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	388699	0.0730180964054819	0.689476701841038	4777	1191	12211	24380000	64
20221002 231249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	388699	0.0892207901738118	0.760847413762705	5521	892	9653	26140000	65
20221002 231322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	388699	0.0498949264869769	0.483604011361022	5791	1052	11139	25730000	66
20221002 231459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	515	TRUE	388699	0.0220796321413014	0.542196000373038	5646	1062	5994	24420000	67
20221002 231621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	398	TRUE	388699	0.0122015312124044	0.917220127326623	5781	914	8535	26290000	68
20221002 231754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	338	TRUE	388699	0.0116801361168548	0.582235617574211	5861	839	5152	24020000	69
20221002 231943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	686	TRUE	388699	0.0167051528567557	0.665628718023242	5052	900	9752	26420000	70
20221002 232141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	839	TRUE	388699	0.0152890993833611	0.822544319505317	5592	1096	8949	26830000	71
20221002 232234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	320	TRUE	388699	0.0315787073089725	0.858143979406223	5843	956	10046	25990000	72
20221002 232311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	388699	0.0321285173713801	0.847809990952804	5338	944	9011	26380000	73
20221002 232429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	635	TRUE	388699	0.0424760551532204	0.797997812264867	5197	890	9764	26320000	74
20221002 232557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	417	TRUE	388699	0.0204601170604409	0.558363652764353	4885	972	8406	26550000	75
20221002 232700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	434	TRUE	388699	0.0336668558575827	0.752105291810105	5550	822	9218	26530000	76
20221002 232734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	388699	0.0330647049747554	0.890238692582012	4439	938	8908	26110000	77
