Feature	Gain	Cover	Frequency
ctrx_quarter	0.160423519708022	0.0254345671956919	0.0234419254920394
mcuentas_saldo	0.0510624984407682	0.0272095546779669	0.0263827120319148
mpayroll	0.0400058337375112	0.0284051158248907	0.00701449904183389
mrentabilidad_annual	0.0341279669889478	0.0235579199516033	0.0382904870376397
mpasivos_margen	0.0324363826697893	0.013888038532161	0.0235986067421147
mprestamos_personales	0.028975865305995	0.0189309886977607	0.00760506683057936
mcaja_ahorro	0.0273279266015766	0.0118070209286502	0.0229718817418134
cliente_edad	0.0249601794183231	0.0196713442929655	0.0391221029034241
cpayroll_trx	0.0218850976149386	0.011808310635444	0.00249484759735329
Master_Fvencimiento	0.0204265783516505	0.0193789819181181	0.0314929312651408
mcuenta_corriente	0.0200754114836944	0.0177907561688947	0.0253703101083511
numero_de_cliente	0.0198653115601794	0.01977731159683	0.0335297875161201
mactivos_margen	0.019379992646489	0.0181812630681359	0.0249725807812368
mrentabilidad	0.0192173025151853	0.0149870987444465	0.0247797423196056
Visa_fechaalta	0.0189100931667353	0.0126731543925186	0.0243338033770836
Master_fechaalta	0.0185315514703306	0.0135227428449181	0.0273830615516265
Visa_Fvencimiento	0.0182520863016604	0.0125977851857365	0.0291547649178629
mtarjeta_visa_consumo	0.0173552566619093	0.0130104481074066	0.0110400019283846
Visa_mpagominimo	0.0166444510190726	0.0118289292330057	0.0206096105868315
cliente_antiguedad	0.0162213310200366	0.0146783663335945	0.0252738908775355
chomebanking_transacciones	0.0158020281650925	0.0132843535197834	0.0247676899157537
Visa_mfinanciacion_limite	0.0155353826360832	0.0122767671380633	0.023996336069229
Master_mfinanciacion_limite	0.0148931415480122	0.0104402276126453	0.0229477769341095
mcomisiones_mantenimiento	0.0145973608218699	0.0147136425668294	0.0103771197165275
Visa_mconsumospesos	0.0124020443992725	0.0120216106416004	0.0193923177977848
Visa_mpagospesos	0.0117332813171906	0.00958616352378818	0.0196574706825276
Visa_cconsumos	0.0109921178652329	0.00681374511778642	0.015149871641899
mcomisiones	0.0107992360302526	0.00703720549697729	0.0149570331802678
Visa_msaldopesos	0.0103280660978084	0.0110917644825059	0.0121729278904678
mtransferencias_recibidas	0.00989710794912713	0.00890341024467032	0.0167407889503561
ctarjeta_visa_transacciones	0.00966460617363745	0.00726994449082299	0.0115944125055742
ccomisiones_otras	0.00892092580343532	0.0153967123745963	0.0150414000072314
mcaja_ahorro_dolares	0.00842757120795791	0.00878524085968379	0.0145713562570055
cproductos	0.00818013286211865	0.0111443367454951	0.0115823601017223
cdescubierto_preacordado	0.00800407442419852	0.00600719178255767	0.00288052452061564
Visa_msaldototal	0.00712650933777164	0.00521646487978393	0.00932856058140796
mautoservicio	0.00707952034862059	0.00803235682462564	0.0107627966397898
mttarjeta_visa_debitos_automaticos	0.00705282961872978	0.00730766939755134	0.0115100456786106
Visa_status	0.00702039281032667	0.0100166877049432	0.00272384327054031
mtransferencias_emitidas	0.00679595258811213	0.0112946780237356	0.011184630774608
mcomisiones_otras	0.00670395169225965	0.00504816010920293	0.00981065673548589
cprestamos_personales	0.00663496758776242	0.0152408121848321	0.00576104904123127
mcuenta_debitos_automaticos	0.00648762663723961	0.00977239148337243	0.00891877885044172
ctransferencias_recibidas	0.00645756347053698	0.0144127280204069	0.0111966831784599
Master_status	0.00636057148908602	0.00595699938248603	0.00189222740475588
ctarjeta_debito_transacciones	0.00563265850855375	0.0104098074400519	0.0101842812548963
mpagomiscuentas	0.00445599492341957	0.00740559077907771	0.0073399139458365
ccallcenter_transacciones	0.00444574421472097	0.0174609362655567	0.00700244663798195
Master_mpagospesos	0.004414365983542	0.0154070241308978	0.0076412240421352
ctarjeta_debito	0.00428564762921562	0.00553428913372758	0.00711091827264948
cmobile_app_trx	0.00419983611832837	0.00254424057032942	0.00525484807944945
Visa_mconsumosdolares	0.00402632000408261	0.0097918432501687	0.00747249038820793
ccajas_consultas	0.00382360995650313	0.00805159134660374	0.00297694375143122
ctransferencias_emitidas	0.0036845670452208	0.00586142050956465	0.00662882211857155
Master_mpagominimo	0.00368168546656392	0.00577406351745406	0.00571283942582348
