Feature	Gain	Cover	Frequency
ctrx_quarter	0.166689030013866	0.0191842471727425	0.0161214953271028
mcaja_ahorro	0.121113183880929	0.0148237428196922	0.0142523364485981
mpayroll	0.0895048951365348	0.0345632087370612	0.019392523364486
campo8	0.0822548410631655	0.00367452205271151	0.00116822429906542
mprestamos_personales	0.0384233487789332	0.0349666274428586	0.0154205607476636
mpasivos_margen	0.0354992238577253	0.0138736667992303	0.0151869158878505
cpayroll_trx	0.0353594078345029	0.0171865336631027	0.00677570093457944
Visa_msaldopesos	0.0320233098207581	0.0183554692007351	0.0264018691588785
Visa_mpagominimo	0.0308202758205294	0.0219595763741351	0.0161214953271028
mtarjeta_visa_consumo	0.0294496746469981	0.0248393295370056	0.0133177570093458
mcuentas_saldo	0.0272706642200226	0.0290636276676704	0.0189252336448598
cprestamos_personales	0.0192095664508829	0.00830884047372267	0.00957943925233645
campo1	0.0172044222592842	0.00129477824309713	0.00186915887850467
mtransferencias_recibidas	0.0156760453187582	0.0067902939984734	0.00817757009345794
mrentabilidad_annual	0.0149419546482102	0.0386356036791383	0.0268691588785047
ctarjeta_visa_transacciones	0.0130756043834206	0.00791243595150862	0.00957943925233645
Master_fechaalta	0.0121940859193996	0.0132040003636454	0.0275700934579439
mrentabilidad	0.0113565032637161	0.0123633480341358	0.0198598130841121
catm_trx	0.0104178594527138	0.00242094303671688	0.0044392523364486
ccomisiones_mantenimiento	0.00941114885634408	0.0104651740415235	0.00607476635514019
Visa_status	0.00924344877004098	0.0398743776709606	0.0123831775700935
mcomisiones_mantenimiento	0.00883528804472046	0.027097623607344	0.0186915887850467
mcuenta_corriente	0.00774429245203877	0.0226921338242882	0.0345794392523364
cdescubierto_preacordado	0.00772443359717948	0.0336552724267947	0.0128504672897196
ctarjeta_debito_transacciones	0.00768506743188867	0.00445485604398456	0.00560747663551402
mcomisiones	0.00584800957636846	0.0104071007274443	0.0175233644859813
cpagomiscuentas	0.0056368127590794	0.00194198230184353	0.00397196261682243
cproductos	0.00552327137267192	0.0226059430995472	0.0203271028037383
mactivos_margen	0.00513480218871483	0.0236168956804686	0.0203271028037383
ctarjeta_visa	0.00498123327957361	0.0112403930182977	0.00724299065420561
mcuenta_debitos_automaticos	0.00485224626416854	0.0054018315040563	0.0123831775700935
ccajas_consultas	0.00480236418668339	0.0299916781808596	0.0168224299065421
ccaja_seguridad	0.0047910131329241	0.0113121245739392	0.00957943925233645
mtarjeta_master_consumo	0.00476073983646333	0.00283649700822923	0.00560747663551402
Visa_fechaalta	0.00458120797876301	0.00791276360368293	0.0156542056074766
chomebanking_transacciones	0.00417936327165126	0.00497525264364185	0.0058411214953271
internet	0.00405415914979954	0.00351615683513047	0.00677570093457944
ccomisiones_otras	0.00399211542925374	0.0144138438820031	0.0154205607476636
Master_status	0.0039751279809982	0.0201359007777474	0.0102803738317757
mcaja_ahorro_dolares	0.00362337323977282	0.00382271791762335	0.0107476635514019
ctarjeta_master	0.00359455056770624	0.00256250091128261	0.0014018691588785
Visa_msaldototal	0.0032233808977618	0.0123890747974516	0.0149532710280374
