fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 012505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1424	TRUE	388699	0.00504984519511548	0.207534817039899	669	732	9664	27640000	85
20221018 013010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1529	TRUE	388699	0.00515656295583031	0.202802131289811	1346	852	9546	27470000	86
20221018 013824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2822	TRUE	388699	0.0051321667137066	0.202417598431242	943	781	11785	26830000	87
20221018 013844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	388699	0.0898466125553724	0.206017793460299	1107	844	9299	26050000	88
20221018 014623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1375	TRUE	388699	0.00788061428926991	0.200480033903732	8	572	9688	26310000	89
20221018 014654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	388699	0.155638016688031	0.223166769472169	7289	521	8306	26510000	90
20221018 015017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	933	TRUE	388699	0.00527921958170669	0.29348017792695	4959	16	8863	26280000	91
20221018 020616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1839	TRUE	388699	0.00529587560154741	0.828291792256862	62	749	9590	27300000	92
20221018 020728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	415	TRUE	388699	0.0191496581935471	0.995097839241454	7564	1024	9283	25920000	93
20221018 020832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	388699	0.031330151828527	0.931092305482391	383	757	10221	26840000	94
20221018 021126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	895	TRUE	388699	0.00531313354112913	0.871771845613466	5804	788	9687	25830000	95
20221018 022438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1357	TRUE	388699	0.00505387196405184	0.754501275753667	0	687	8952	25620000	96
20221018 023225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2573	TRUE	388699	0.00533040059905486	0.200118876085984	941	886	10104	27320000	97
20221018 024431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2156	TRUE	388699	0.00502788450229628	0.243657920377047	781	737	8135	27650000	98
20221018 024827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1061	TRUE	388699	0.00518141800949486	0.226034464771286	3130	740	9095	26530000	99
20221018 025503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1476	TRUE	388699	0.00668145186425275	0.209542028533842	1243	877	9123	27760000	100
20221018 030115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1646	TRUE	388699	0.00551498561603432	0.20896631089606	748	793	7477	26970000	101
20221018 030447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	505	TRUE	388699	0.00555186242163548	0.200831993666234	592	723	5183	2.5e+07	102
20221018 030530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	388699	0.058787473859864	0.247161948594701	1251	615	8379	27170000	103
20221018 030732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	638	TRUE	388699	0.0272634693171403	0.275535873479549	1234	929	11191	27060000	104
20221018 031514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	388699	0.00553997678197223	0.300499325683144	15	752	9053	27260000	105
20221018 031744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	388699	0.0119968026709567	0.247935569181502	1146	866	10790	26900000	106
20221018 031802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	388699	0.278211895279806	0.304796755273029	7887	880	8365	26150000	107
20221018 031817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	388699	0.180176375757526	0.999683138243923	3954	71	7846	26070000	108
20221018 032013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	227	TRUE	388699	0.0351426667955842	0.246941894589005	9	726	8592	25780000	109
20221018 032031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	388699	0.0701304768563458	0.850970117183961	6168	291	13339	23890000	110
20221018 032054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	388699	0.125476287028871	0.721745348045044	7212	63	14669	23710000	111
20221018 032923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1625	TRUE	388699	0.00505855129374117	0.914730859245692	519	996	9954	26900000	112
20221018 032943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	388699	0.217486538213372	0.68258799403403	3667	627	14940	23240000	113
20221018 033522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1315	TRUE	388699	0.00501901917132557	0.241940301919664	744	1002	9011	27500000	114
20221018 033546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	388699	0.0648769841317296	0.875217603385989	4671	630	7343	25720000	115
20221018 034126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1552	TRUE	388699	0.00506096444508595	0.286635917896397	1352	859	8362	27440000	116
20221018 034610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	812	TRUE	388699	0.00502645037394322	0.880405112731116	895	773	12087	26230000	117
20221018 034631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	388699	0.12137944479963	0.993717240500971	3054	1023	9824	25560000	118
20221018 034651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.161421503350079	0.230662868620031	2078	424	8059	26450000	119
20221018 034714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	388699	0.203997256802258	0.200021267283715	7957	16	7774	26300000	120
