fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 215650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	351	TRUE	388699	0.0414972539533628	0.49219111567596	5737	807	8750	26820000	1
20221002 215712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	388699	0.0761134050065884	0.563959118151106	5352	979	9353	26660000	2
20221002 215742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	388699	0.0362982759816805	0.698798022484407	5550	1135	10010	26140000	3
20221002 215810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	388699	0.0645766615617322	0.661553757835645	5482	821	12898	24930000	4
20221002 215837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	388699	0.056153905384941	0.808909719958901	5084	1003	12165	25110000	5
20221002 215937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	311	TRUE	388699	0.0472511244175257	0.529274618837517	4687	935	10538	26130000	6
20221002 220002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	388699	0.0834503467221512	0.732174944288563	4341	1043	11273	25620000	7
20221002 220037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	388699	0.0301397071168758	0.847271164210979	4251	1094	6686	25910000	8
20221002 220101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	388699	0.0802122415405465	0.853569930589292	4558	862	5933	25180000	9
20221002 220133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	388699	0.0626160179224098	0.63761807035422	5970	1170	13581	24440000	10
20221002 220216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	388699	0.0218713912349194	0.925417804652825	5257	903	13036	24490000	11
20221002 220315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	257	TRUE	388699	0.0257914637180511	0.592059454729315	4858	1200	8375	26610000	12
20221002 220344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	388699	0.0941554129102733	0.409841171859298	5146	852	7516	26170000	13
20221002 220406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	388699	0.0702116594319232	0.962599262429867	5843	1146	7027	26350000	14
20221002 220647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	741	TRUE	388699	0.010278870584094	0.452331383754499	4759	1026	14844	23280000	15
20221002 220718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	388699	0.042375626886962	0.891549698419403	4124	997	11720	25200000	16
20221002 220828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	346	TRUE	388699	0.0181270259403391	0.995970013854094	4910	1070	5029	24430000	17
20221002 220856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	388699	0.0895483865962597	0.470103449977469	4437	893	14035	23850000	18
20221002 220915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	388699	0.0999993041742128	0.773972775302827	4018	1106	6298	25330000	19
20221002 220941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	388699	0.0546895727302181	0.710044822630007	5696	957	9672	26340000	20
20221002 221058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	332	TRUE	388699	0.0554271834711229	0.460752241475341	5894	1038	8611	26860000	21
20221002 221136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	388699	0.045241634160983	0.458748006973747	5290	970	8724	26480000	22
20221002 221200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	388699	0.082584756764855	0.582700815049865	6000	1176	8359	26090000	23
20221002 221227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	388699	0.0718564332797894	0.400171080240174	5943	828	9181	26200000	24
20221002 221338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	388699	0.0155248936368083	0.607774851193251	5803	1002	8530	26540000	25
