fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 143537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	388699	0.108240999069356	0.322921487567946	6945	34	8750	26420000	1
20221002 143603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	388699	0.221705049743818	0.418612157534808	5408	468	9353	26420000	2
20221002 143640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	388699	0.0911999046066194	0.598397363312542	6201	859	10010	26460000	3
20221002 143659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	388699	0.183890168452344	0.54873834378086	5928	70	12898	25250000	4
20221002 143717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	388699	0.156282245428418	0.745212959945202	4337	528	12165	24470000	5
20221002 143737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	388699	0.127100907813001	0.372366158450022	2750	356	10538	25970000	6
20221002 143809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	388699	0.24575391425594	0.642899925718084	1366	629	11273	25540000	7
20221002 143838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.0710134844386485	0.796361552281305	1003	756	6686	26310000	8
20221002 143855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	388699	0.235140125049569	0.80475990745239	2233	173	5933	24940000	9
20221002 143922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	388699	0.177463614301232	0.516824093805626	7878	947	13581	23800000	10
20221002 144004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	247	TRUE	388699	0.0439117823811248	0.900557072870433	5028	275	13036	25130000	11
20221002 144054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231	TRUE	388699	0.0567609088536119	0.45607927297242	3431	1022	8375	26050000	12
20221002 144113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	388699	0.280842742317007	0.213121562479064	4582	147	7516	26490000	13
