fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 221939	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	647	1	1	1	0.1	50	0.5	FALSE	388699	0.0258546558585719	0.694254264436106	7999	394	0.027567936728747	6319	12322000	24
20221029 231103	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3014	1	1	1	0.1	50	0.5	FALSE	388699	0.00510963881824882	0.692151658312441	6290	544	0.0291325701886233	5859	12682000	25
20221030 000821	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3931	1	1	1	0.1	50	0.5	FALSE	388699	0.00513081286175668	0.716981505165738	6920	935	0.0256209617728986	6471	11858000	26
20221030 002210	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1373	1	1	1	0.1	50	0.5	FALSE	388699	0.00784967717077718	0.679929377005075	5697	21	0.0303410305701272	6717	12166000	27
20221030 011300	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3734	1	1	1	0.1	50	0.5	FALSE	388699	0.00895505642847978	0.677325141014777	6389	665	0.0168965174665083	6453	12054000	28
20221030 012417	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	583	1	1	1	0.1	50	0.5	FALSE	388699	0.0306217330407073	0.697921812058997	5586	425	0.0271765524008964	6508	12024000	29
20221030 023739	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5382	1	1	1	0.1	50	0.5	FALSE	388699	0.00501323969745703	0.508559265693301	5510	31	0.0268800542199767	7233	11454000	30
20221030 032734	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2522	1	1	1	0.1	50	0.5	FALSE	388699	0.00584002416942369	0.540207169000466	6653	2025	0.028838690710925	6229	12262000	31
20221030 043007	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5195	1	1	1	0.1	50	0.5	FALSE	388699	0.00500631672577914	0.696285013753377	6849	111	0.0243971317243337	6516	12328000	32
20221030 051344	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2766	1	1	1	0.1	50	0.5	FALSE	388699	0.00504174613155893	0.692773650205566	6149	1724	0.0288607553484974	6210	12460000	33
20221030 060729	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2829	1	1	1	0.1	50	0.5	FALSE	388699	0.00529992639790453	0.548357077118834	7985	1035	0.0295094716535715	6407	12146000	34
20221030 070806	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3475	1	1	1	0.1	50	0.5	FALSE	388699	0.00516079342141448	0.69165951617884	3145	893	0.0171053843490115	7208	11184000	35
20221030 071556	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	0.1	50	0.5	FALSE	388699	0.0530935633925463	0.69187885408795	8000	1650	0.0284257531744348	5878	12324000	36
20221030 082013	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5032	1	1	1	0.1	50	0.5	FALSE	388699	0.00501101566555065	0.693032421236066	7582	1200	0.0226542492427846	6591	12018000	37
20221030 083740	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	883	1	1	1	0.1	50	0.5	FALSE	388699	0.0306543635086955	0.535798587592774	7998	1873	0.0248412330647069	5881	12558000	38
20221030 091406	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2076	1	1	1	0.1	50	0.5	FALSE	388699	0.0102529850624771	0.505446339706284	7993	2029	0.0279767407616081	6161	12158000	39
20221030 091803	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	0.1	50	0.5	FALSE	388699	0.0899685910410566	0.691548777481355	7996	2048	0.0272383426477113	6440	12160000	40
20221030 092126	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	0.1	50	0.5	FALSE	388699	0.132216463728821	0.999944756486039	4989	2045	0.0301660626523408	7143	11154000	41
20221030 092434	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	0.1	50	0.5	FALSE	388699	0.203965981287596	0.999977257950429	4132	57	0.0249800506552596	7981	9958000	42
20221030 093429	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	0.1	50	0.5	FALSE	388699	0.0458841421641066	0.999968260946195	1953	1860	0.0103107965311301	7843	10394000	43
20221030 094115	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	0.1	50	0.5	FALSE	388699	0.0571115317714082	0.691828987285204	6298	2028	0.0256381612226085	5728	12064000	44
20221030 101909	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1656	1	1	1	0.1	50	0.5	FALSE	388699	0.00510962076384529	0.531288263349328	8000	1676	0.0299124112752008	6747	11946000	45
20221030 103240	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	579	1	1	1	0.1	50	0.5	FALSE	388699	0.0307828492545858	0.553289040540206	7563	2047	0.028916300187949	6481	11838000	46
20221030 104034	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	0.1	50	0.5	FALSE	388699	0.0299405678767015	0.512948114570009	6303	1973	0.0269552562634233	7161	11518000	47
20221030 105658	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	819	1	1	1	0.1	50	0.5	FALSE	388699	0.0296425168036235	0.539557035095815	7715	964	0.0259256013562318	5879	12082000	48
20221030 114137	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3291	1	1	1	0.1	50	0.5	FALSE	388699	0.00567002883514337	0.70225123176334	6127	131	0.0283005717813684	6164	12392000	49
20221030 125924	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6063	1	1	1	0.1	50	0.5	FALSE	388699	0.00559083734179622	0.691139772499737	7987	1880	0.0179330006357166	7001	11198000	50
20221030 130545	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	299	1	1	1	0.1	50	0.5	FALSE	388699	0.0741256826674593	0.695960518864845	7998	677	0.0246888833823458	6962	11356000	51
20221030 131414	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	1	1	1	0.1	50	0.5	FALSE	388699	0.0215328451683175	0.693678030150759	6073	1520	0.0290662052826858	6321	12318000	52
20221030 132706	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	613	1	1	1	0.1	50	0.5	FALSE	388699	0.0438322626937121	0.532091938722716	7989	2047	0.0249326494366531	6027	12426000	53
20221030 133514	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	388699	0.032887021278993	0.504828149599046	8000	180	0.032500212067554	6422	12276000	54
20221030 143714	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4439	1	1	1	0.1	50	0.5	FALSE	388699	0.00509354850529661	0.567272321792705	6024	22	0.0261813037999127	7748	11224000	55
20221030 145912	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1142	1	1	1	0.1	50	0.5	FALSE	388699	0.017379768286183	0.538783874847784	7908	2026	0.0259634917300246	6314	11932000	56
20221030 150434	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	0.1	50	0.5	FALSE	388699	0.0453459427525212	0.692187869859871	7291	1691	0.0268764990772313	7881	11358000	57
20221030 161013	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4914	1	1	1	0.1	50	0.5	FALSE	388699	0.00500891691081854	0.694776072102936	5725	660	0.0200371359918715	6274	11932000	58
20221030 170839	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3316	1	1	1	0.1	50	0.5	FALSE	388699	0.00513046035281852	0.507804964992078	6826	284	0.0272616108234972	6392	12256000	59
