fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 020912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	26170000	1
20220927 020933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	26190000	2
20220927 021011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25780000	3
20220927 021023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	25550000	4
20220927 021036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	24120000	5
20220927 021132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	25910000	6
20220927 021156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	26270000	7
20220927 021210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	25160000	8
20220927 021236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	23430000	9
20220927 021307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	24370000	10
20220927 021320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	24600000	11
20220927 021332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	24890000	12
20220927 021348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	25830000	13
20220927 021418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	388699	0.107610276694293	0.280190903553739	5961	112	13606	24390000	14
