Feature	Gain	Cover	Frequency
ctrx_quarter	0.241568267311926	0.0212055967275147	0.0230108572354562
mcuentas_saldo	0.068605911586944	0.0316584019841454	0.0338680926916221
cpayroll_trx	0.055358839325199	0.00994330306700891	0.00421325555015395
mpayroll	0.0545947425433668	0.0194639072769746	0.0103710905849943
mpasivos_margen	0.0416511870816965	0.0131143293634771	0.0204180845892076
mprestamos_personales	0.035461368726439	0.0172494851630582	0.00858855939069843
mcaja_ahorro	0.0337951887617944	0.0154259496102965	0.022362664073894
mrentabilidad_annual	0.0335111934045686	0.0420344753426405	0.0437530384054448
mtarjeta_visa_consumo	0.0332430987318264	0.0146358694382564	0.0166909739102252
campo8	0.0163948513182257	0.000611365581746193	0.000324096580781073
mcomisiones_mantenimiento	0.0161703796399195	0.0121785681526418	0.0134500081024145
Visa_mpagominimo	0.0158538491257092	0.0183640363115774	0.0234970021066278
mrentabilidad	0.0158504965728194	0.0213093469438598	0.0230108572354562
mcuenta_corriente	0.0158008401643307	0.0300194455601876	0.0299789337222492
mactivos_margen	0.0150431036666812	0.0297480505409068	0.0306271268838114
cliente_edad	0.0148699497531932	0.0264815904962479	0.0364608653378707
ctarjeta_visa	0.0143364007737865	0.00782391912748652	0.00372711067898234
Visa_fechaalta	0.0120356361348211	0.023996194052644	0.0241451952681899
Master_fechaalta	0.01156411211442	0.0202945055079052	0.0275482093663912
Master_Fvencimiento	0.0104600203337027	0.0245250699398804	0.0293307405606871
Visa_Fvencimiento	0.00932868481733064	0.0132133578100585	0.0239831469777994
numero_de_cliente	0.00918940865260576	0.0211067692073062	0.0273861610760007
chomebanking_transacciones	0.00916293599280016	0.0146915229040823	0.022362664073894
Visa_mconsumospesos	0.00870405531647305	0.0193387144492688	0.0262518230432669
Master_status	0.00786977735588543	0.0153302615646651	0.00631988332523092
Visa_status	0.00759870035350233	0.0431852654462016	0.0149084427159293
Visa_cconsumos	0.00752906022431356	0.0114778405665368	0.0181494085237401
cprestamos_personales	0.0074225920378393	0.0078868059427378	0.00324096580781073
cliente_antiguedad	0.00736593080508917	0.0179366910321603	0.0215524226219413
Visa_msaldototal	0.00692875548589749	0.0196934876343647	0.0149084427159293
