fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 210309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	25770000	1
20220925 210322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	25470000	2
20220925 210402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25060000	3
20220925 210421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	25630000	4
20220925 210443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	24200000	5
20220925 210601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	298	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	26950000	6
20220925 210631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	26910000	7
20220925 210644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	25480000	8
20220925 210704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	23030000	9
20220925 210741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	23890000	10
20220925 210802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	23960000	11
20220925 210819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	24490000	12
20220925 210840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	26070000	13
20220925 210915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	220	TRUE	388699	0.107610276694293	0.280190903553739	5961	112	13606	24230000	14
20220925 210931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	388699	0.230431811770366	0.661553804706782	2086	968	13139	25090000	15
20220925 211236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	388699	0.00769870370265562	0.463761767214164	1454	827	5466	24750000	16
20220925 211259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	388699	0.0930573708133306	0.210880017522723	7935	881	9278	26170000	17
20220925 211332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	388699	0.295174827996117	0.576827390855178	4084	334	7190	25380000	18
20220925 211456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	388699	0.26224245623115	0.367376546086744	143	398	14492	21500000	19
20220925 211640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	800	TRUE	388699	0.0322818678830517	0.894003292554989	6320	580	9991	26740000	20
20220925 212201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1972	TRUE	388699	0.0053364051170103	0.731587787231167	3003	679	10951	26340000	21
20220925 212249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	388699	0.0218613854695238	0.938621562408231	3643	819	9181	25880000	22
20220925 213114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2654	TRUE	388699	0.00517628919673084	0.540359907181352	2968	884	11213	26620000	23
20220925 213319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	644	TRUE	388699	0.016926108684119	0.559769583884627	2298	23	11044	26080000	24
20220925 213441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	538	TRUE	388699	0.0443373389799448	0.579002311182761	5787	563	11246	26310000	25
20220925 213522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	388699	0.0811809571142185	0.573039999089274	3020	785	11343	26120000	26
20220925 213545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.117430035489273	0.424152520433997	2314	613	8815	25970000	27
20220925 213607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	388699	0.130999859235108	0.999575114240874	811	729	8245	25510000	28
20220925 213641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	388699	0.116258310127263	0.859974794790896	1096	537	8998	26730000	29
20220925 214048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1399	TRUE	388699	0.0108400938077598	0.547144393203338	3642	463	11595	25930000	30
20220925 214110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	388699	0.0889821301931922	0.925008916060138	1469	428	8863	26120000	31
20220925 214127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	388699	0.115845951758739	0.894195608970916	4148	851	9639	26090000	32
20220925 214209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	388699	0.0388073829145018	0.860166036723203	1712	285	10499	26050000	33
20220925 214254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	388699	0.0549555152402251	0.537841883314075	560	292	10265	26910000	34
20220925 214335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.0578603266731154	0.554137824546033	128	211	11229	25870000	35
20220925 214818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1345	TRUE	388699	0.0128437318133371	0.539689399985794	4211	305	9394	26980000	36
20220925 214950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	369	TRUE	388699	0.0206977499475467	0.55714094579625	2388	316	9967	26230000	37
20220925 215057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	388699	0.0412158677752117	0.530555305568223	2994	304	10415	26370000	38
20220925 215154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	388699	0.0324049993527923	0.636849254669722	4596	308	9354	26420000	39
20220925 215307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	388699	0.0414393903871178	0.625890049699628	1127	967	10005	26630000	40
20220925 215338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	388699	0.108599955878724	0.430437374136885	1179	913	8734	25820000	41
20220925 215426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	388699	0.0355452265812573	0.538612682866518	4131	435	8491	26460000	42
20220925 215719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	985	TRUE	388699	0.00804839884650712	0.606847159765366	6006	622	9615	26210000	43
20220925 220302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1803	TRUE	388699	0.00622124269472728	0.570803223473589	3046	174	11454	26780000	44
20220925 220450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231	TRUE	388699	0.048955247714614	0.66078127823769	251	445	8609	26870000	45
20220925 220923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	523	TRUE	388699	0.0229778836151476	0.651429819604312	466	553	8222	2.7e+07	46
20220925 221142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	780	TRUE	388699	0.0199558528492297	0.579402006327794	3132	768	13560	24560000	47
20220925 221657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	617	TRUE	388699	0.0183179427838581	0.649087219136499	491	527	9437	27370000	48
20220925 222352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	932	TRUE	388699	0.00551952935263104	0.577672003635771	481	128	9152	27460000	49
20220925 222825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	388699	0.00590007720956104	0.442810764039511	390	489	9185	27150000	50
20220925 223253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	956	TRUE	388699	0.00561656203249109	0.699795776939939	441	101	9860	2.7e+07	51
20220925 223523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	388699	0.0176087818545063	0.594729864503654	639	272	9073	27700000	52
20220925 223922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	895	TRUE	388699	0.00812232762878995	0.823432832839081	926	443	8846	27030000	53
20220925 224017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	388699	0.029775216896397	0.547469604998737	652	63	9146	27150000	54
20220925 224432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	511	TRUE	388699	0.00637473490057684	0.61194949866684	645	334	8900	27320000	55
20220925 224656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	345	TRUE	388699	0.0157771390480507	0.763939221923044	5	272	8171	27260000	56
20220925 224843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	478	TRUE	388699	0.0157893578211617	0.54463815724662	102	42	8882	27040000	57
20220925 225119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	388699	0.0140180802649329	0.660508343026733	766	269	9166	27510000	58
20220925 225148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	388699	0.0594248005678699	0.873273200649769	7365	339	10080	25600000	59
20220925 225228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	388699	0.0537345492015952	0.514882466604316	1084	572	9296	27250000	60
20220925 225435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	388699	0.0165324531703834	0.583628970545787	656	345	9198	27530000	61
20220925 225605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	388699	0.0195940140705478	0.687824084022607	658	275	9035	27210000	62
20220925 225823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	388699	0.0303046237572749	0.62965394965835	37	693	8397	26650000	63
20220925 230008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	171	TRUE	388699	0.0178636449065843	0.608908904755511	507	278	7540	26920000	64
20220925 230519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	666	TRUE	388699	0.00554918925008315	0.531315056046885	560	258	9356	27610000	65
20220925 230642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	388699	0.0550121413226306	0.896520731921962	341	1021	9874	26740000	66
20220925 230743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	230	TRUE	388699	0.0557120130424652	0.578771621815297	944	446	5008	24150000	67
20220925 230942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	539	TRUE	388699	0.0070512164526708	0.811079687356414	6782	1024	11354	25300000	68
20220925 231021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	388699	0.0429316535004389	0.38407485472512	6144	260	8145	26110000	69
20220925 231034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	388699	0.265341470114232	0.582289683005924	5160	18	11706	24670000	70
20220925 231902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	717	TRUE	388699	0.0162928255436267	0.871991616172344	324	965	8548	27790000	71
20220925 232850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	708	TRUE	388699	0.00512578545877982	0.865984293152846	4	643	9172	26060000	72
20220925 233358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	466	TRUE	388699	0.0174314867497839	0.964533302923997	9	1011	9091	25900000	73
20220925 233435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	388699	0.0822477656894836	0.831910068011979	1003	991	8423	2.7e+07	74
20220925 233601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	237	TRUE	388699	0.0484091754310735	0.497094841624447	20	301	9569	26390000	75
20220925 233744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	388699	0.0190602201570899	0.841458572521556	837	929	8202	27120000	76
20220925 233823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	388699	0.0636961506490969	0.609074533093564	1496	635	9318	27370000	77
20220925 234123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	932	TRUE	388699	0.00685750796452081	0.606190960047569	1852	22	9419	26610000	78
20220925 234516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	596	TRUE	388699	0.00507700472949685	0.837911596377126	1113	868	8625	26750000	79
20220925 234733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	388699	0.0136713492105502	0.803534936340119	443	860	8540	27400000	80
20220925 235049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	439	TRUE	388699	0.0197494740786853	0.863713576639309	345	190	8078	28010000	81
20220925 235212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	388699	0.0254182517122214	0.870429632728275	304	641	7770	26220000	82
20220925 235341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	367	TRUE	388699	0.0159904936459124	0.884225827630806	2073	88	8427	26830000	83
20220925 235422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	388699	0.0681286543536877	0.535711897063774	3219	240	9065	26510000	84
20220925 235612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	319	TRUE	388699	0.0168143137560301	0.860671395316748	27	179	8407	27190000	85
20220925 235845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	554	TRUE	388699	0.0125238861366103	0.462395355115869	981	71	7999	27370000	86
20220926 000230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1163	TRUE	388699	0.00588421758355554	0.231533907089568	4472	254	9106	26110000	87
20220926 000529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	557	TRUE	388699	0.00759471821633614	0.890135469634852	776	94	8018	27090000	88
20220926 000638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	388699	0.0169120896360181	0.859486581442761	363	57	8205	27350000	89
20220926 000811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	194	TRUE	388699	0.0334560053205851	0.884593591923425	806	281	8085	26790000	90
20220926 001222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1039	TRUE	388699	0.0128685688261048	0.5568287862852	1017	221	11395	26970000	91
20220926 001325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	388699	0.0442677970060953	0.858428178479094	3197	277	11807	25590000	92
20220926 002109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	859	TRUE	388699	0.00523923556541738	0.757802631069047	318	999	8525	27510000	93
20220926 002137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	388699	0.0807881045601755	0.737127175353112	1249	662	11895	25410000	94
20220926 002215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	388699	0.0548251573068177	0.627996115150449	2923	775	9489	26470000	95
20220926 002448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	535	TRUE	388699	0.0197369774751469	0.895133350241522	586	204	8011	27020000	96
20220926 002655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409	TRUE	388699	0.0205330537551179	0.508357063339802	702	605	12346	26110000	97
20220926 003349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1523	TRUE	388699	0.00625165354614397	0.815034376739106	432	176	7971	27260000	98
20220926 003441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	388699	0.0209753335307286	0.846227602353941	2572	24	7933	26220000	99
20220926 003835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	897	TRUE	388699	0.00502597685143613	0.745368234877716	2515	1024	9182	26360000	100
20220926 004104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	394	TRUE	388699	0.0149937143681831	0.890900552808616	313	224	9082	27520000	101
